epoch,train_loss,val_loss,micro_f1,macro_f1
1,0.118419,0.093140,0.500000,0.457307
2,0.086194,0.088638,0.531333,0.492149
3,0.077829,0.089019,0.542097,0.508533
4,0.071385,0.089017,0.549272,0.507866
5,0.067744,0.091293,0.546202,0.509208
6,0.065755,0.091699,0.545697,0.511665
