epoch,train_loss,val_loss,micro_f1,macro_f1
1,0.033413,0.025193,0.504800,0.481686
2,0.024886,0.023640,0.559219,0.508617
3,0.022703,0.024568,0.545138,0.505289
4,0.021040,0.024599,0.545586,0.497017
